TAHUN;BULAN;KEBUN;LUAS;POKOK;AKT_KG;AKT_JJG;BJR_AKT
2023;JUN;FFD PLASMA;2877,09;388493;8242410;543138;15,18
2023;JUL;FFD PLASMA;2877,09;388493;7444400;498379;14,94
2023;AGT;FFD PLASMA;2877,09;388493;6116070;437927;13,97
2023;SEP;FFD PLASMA;2877,09;388493;5263510;409536;12,85
2023;OKT;FFD PLASMA;2877,09;388493;5060000;415597;12,18
2023;NOV;FFD PLASMA;2877,09;388493;5504810;436314;12,62
2023;DES;FFD PLASMA;2877,09;388493;4834220;381163;12,68
2024;JAN;FFD PLASMA;2857,73;383640;5569104;407053;13,68
2024;FEB;FFD PLASMA;2857,73;383640;4720537;320826;14,71
2024;MAR;FFD PLASMA;2857,73;383640;4620075;319098;14,48
2024;APR;FFD PLASMA;2857,73;383640;6167002;461844;13,35
2024;MEI;FFD PLASMA;2857,73;383640;6026663;493097;12,22
2024;JUN;FFD PLASMA;2857,73;383640;4898290;394621;12,41
2024;JUL;FFD PLASMA;2857,73;383640;3268557;245030;13,34
2024;AGT;FFD PLASMA;2857,73;383640;3578520;293321;12,20
2024;SEP;FFD PLASMA;2857,73;383640;5468880;456664;11,98
2024;OKT;FFD PLASMA;2857,73;383640;7124860;576877;12,35
2024;NOV;FFD PLASMA;2857,73;383640;6424700;512433;12,54
2024;DES;FFD PLASMA;2857,73;383640;6580710;491956;13,38
2025;JAN;FFD PLASMA;2842,44;383562;6933930;492646;14,07
2025;FEB;FFD PLASMA;2842,44;383562;5602850;403445;13,89
2025;MAR;FFD PLASMA;2842,44;383562;5725070;404015;14,17
2025;APR;FFD PLASMA;2842,44;383562;7499980;535323;14,01
2025;MEI;FFD PLASMA;2842,44;383562;6572490;471105;13,95
2025;JUN;FFD PLASMA;2842,44;383562;5745890;411570;13,96
2025;JUL;FFD PLASMA;2842,44;383562;5610880;404397;13,87
2025;AGT;FFD PLASMA;2842,44;383562;5305190;391188;13,56
2025;SEP;FFD PLASMA;2842,44;383562;5096470;389724;13,08
2025;OKT;FFD PLASMA;2842,44;383562;5360120;400850;13,37
2025;NOV;FFD PLASMA;2842,44;383562;4886150;346337;14,11
2025;DES;FFD PLASMA;2842,44;383562;4039520;276691;14,60
2026;JAN;FFD PLASMA;2842,44;382206;2799410;188220;14,87
2026;FEB;FFD PLASMA;2842,44;382206;2029180;133890;15,16
2026;MAR;FFD PLASMA;2842,44;382206;2749660;170610;16,12
2026;APR;FFD PLASMA;2842,44;382206;4789930;279869;17,11
2026;MEI;FFD PLASMA;2842,44;382206;6320930;365752;17,28
2026;JUN;FFD PLASMA;2842,44;382206;0;0;
2026;JUL;FFD PLASMA;2842,44;382206;0;0;
2026;AGT;FFD PLASMA;2842,44;382206;0;0;
2026;SEP;FFD PLASMA;2842,44;382206;0;0;
2026;OKT;FFD PLASMA;2842,44;382206;0;0;
2026;NOV;FFD PLASMA;2842,44;382206;0;0;
2026;DES;FFD PLASMA;2842,44;382206;0;0;
