Bulan;Kebun;Afdeling;Kode Afd;Luas;Pokok;Jjg Akt.;Kg Akt.;Jjg Bgt.;Kg Bgt.;BJR Akt.;BJR Bgt.;Ton/ha Akt.;Ton/ha Bgt.;% Cap.;Gap Ton/Ha;Gap %
JAN;BKB Inti;Afdeling 1;AFD.1;1451,00;190109;87219;1500690;133954;2194615;17,21;16,38;1,03;1,51;68,38;-0,48;31,62
JAN;BKB Inti;Afdeling 2;AFD.2;1496,00;195774;98538;1631260;143788;2405069;16,55;16,73;1,09;1,61;67,83;-0,52;32,17
JAN;SC Inti;SC Inti;AFD6;393,60;51701;25985;356420;55446;726585;13,72;13,10;0,91;1,85;49,05;-0,94;50,95
JAN;Setarap;Setarap;AFD-8;388,20;51154;38557;523930;51792;716617;13,59;13,84;1,35;1,85;73,11;-0,50;26,89
JAN;SC Plasma;SC Plasma;AFD-7;196,30;26164;13410;188860;29096;362370;14,08;12,45;0,96;1,85;52,12;-0,88;47,88
JAN;BKB Plasma;SK1;SK1;187,50;24615;9922;137490;11358;186375;13,86;16,41;0,73;0,99;73,77;-0,26;26,23
JAN;BKB Plasma;SK2;SK2;158,00;20822;8962;165470;8236;160754;18,46;19,52;1,05;1,02;102,93;0,03;-2,93
JAN;BKB Plasma;SKA;SKA;233,00;30330;11648;201040;13766;253152;17,26;18,39;0,86;1,09;79,41;-0,22;20,59
JAN;BKB Plasma;SKB;SKB;321,00;43821;31068;423230;27984;364657;13,62;13,03;1,32;1,14;116,06;0,18;-16,06
JAN;BKB Plasma;SKC;SKC;55,00;7285;3382;55280;3284;62480;16,35;19,03;1,01;1,14;88,48;-0,13;11,52
JAN;BKB Plasma;SBB;SBB;1158,50;156587;61124;873190;77570;1183122;14,29;15,25;0,75;1,02;73,80;-0,27;26,20
JAN;BKB Plasma;SMM;SMM;982,75;130420;42901;527430;69070;983336;12,29;14,24;0,54;1,00;53,64;-0,46;46,36
JAN;BKB Plasma;TGS;TGS;416,00;54374;24395;286060;32652;428252;11,73;13,12;0,69;1,03;66,80;-0,34;33,20
JAN;BKB Plasma;WRJ;WRJ;1051,40;140849;50685;593180;85744;1079949;11,70;12,60;0,56;1,03;54,93;-0,46;45,07
JAN;BKB Plasma 1;MTL;MTL;799,68;106447;42428;753830;49190;851659;17,77;17,31;0,94;1,07;88,51;-0,12;11,49
JAN;BKB Plasma 1;SBU;SBU;29,10;4020;702;10640;2196;35124;15,16;15,99;0,37;1,21;30,29;-0,84;69,71
JAN;BKB Plasma 1;TNB;TNB;111,43;14327;5301;94578;7730;134496;17,84;17,40;0,85;1,21;70,32;-0,36;29,68
JAN;BKB Plasma 1;SBH;SBH;495,52;66248;26166;502882;30422;531966;19,22;17,49;1,01;1,07;94,53;-0,06;5,47
JAN;FFD Inti;Rayon 1;RAY-1;1677,81;218379;90961;1287070;202770;2966125;14,15;14,63;0,77;1,77;43,39;-1,00;56,61
JAN;FFD Inti;Rayon 2;RAY-2;1742,55;230645;73669;1095570;199825;3009948;14,87;15,06;0,63;1,73;36,40;-1,10;63,60
JAN;FFD Plasma;BB1;BB1;612,27;80089;39262;645820;74370;1117975;16,45;15,03;1,05;1,83;57,77;-0,77;42,23
JAN;FFD Plasma;BB2A;BB2-A;39,80;5361;2165;35030;5145;72676;16,18;14,13;0,88;1,83;48,20;-0,95;51,80
JAN;FFD Plasma;BB2B;BB2-B;442,00;59052;24493;363280;57248;811167;14,83;14,17;0,82;1,84;44,78;-1,01;55,22
JAN;FFD Plasma;BB3;BB3;14,00;1971;609;11530;1402;24850;18,93;17,72;0,82;1,77;46,40;-0,95;53,60
JAN;FFD Plasma;BB4;BB4;324,10;43877;21358;337650;41533;598289;15,81;14,41;1,04;1,85;56,44;-0,80;43,56
JAN;FFD Plasma;BB5;BB5;145,15;19235;14255;200560;20965;267947;14,07;12,78;1,38;1,85;74,85;-0,46;25,15
JAN;FFD Plasma;JB1;JB1;521,80;68870;39018;501570;62357;928967;12,85;14,90;0,96;1,78;53,99;-0,82;46,01
JAN;FFD Plasma;JB2;JB2;265,82;38182;17450;268350;35645;489234;15,38;13,73;1,01;1,84;54,85;-0,83;45,15
JAN;FFD Plasma;JB3;JB3;277,60;38497;17618;245760;39562;512450;13,95;12,95;0,89;1,85;47,96;-0,96;52,04
JAN;FFD Plasma;SR;SR;199,90;27072;11992;189860;25636;368422;15,83;14,37;0,95;1,84;51,53;-0,89;48,47
FEB;BKB Inti;Afdeling 1;AFD.1;1451,00;190109;77834;1362420;90560;1483683;17,50;16,38;0,94;1,02;91,83;-0,08;8,17
FEB;BKB Inti;Afdeling 2;AFD.2;1496,00;195774;95997;1552520;97209;1625962;16,17;16,73;1,04;1,09;95,48;-0,05;4,52
FEB;SC Inti;SC Inti;AFD6;393,60;51701;17921;261050;37485;491212;14,57;13,10;0,66;1,25;53,14;-0,58;46,86
FEB;Setarap;Setarap;AFD-8;388,20;51154;41001;538880;35014;484474;13,14;13,84;1,39;1,25;111,23;0,14;-11,23
FEB;SC Plasma;SC Plasma;AFD-7;196,30;26164;11630;162770;19670;244982;14,00;12,45;0,83;1,25;66,44;-0,42;33,56
FEB;BKB Plasma;SK1;SK1;187,50;24615;9087;126260;7679;126000;13,89;16,41;0,67;0,67;100,21;0,00;-0,21
FEB;BKB Plasma;SK2;SK2;158,00;20822;7751;136840;5568;108679;17,65;19,52;0,87;0,69;125,91;0,18;-25,91
FEB;BKB Plasma;SKA;SKA;233,00;30330;13962;236460;9307;171145;16,94;18,39;1,01;0,73;138,16;0,28;-38,16
FEB;BKB Plasma;SKB;SKB;321,00;43821;27473;374510;18919;246528;13,63;13,03;1,17;0,77;151,91;0,40;-51,91
FEB;BKB Plasma;SKC;SKC;55,00;7285;2987;50610;2220;42240;16,94;19,03;0,92;0,77;119,82;0,15;-19,82
FEB;BKB Plasma;SBB;SBB;1158,50;156587;50783;685280;52442;799857;13,49;15,25;0,59;0,69;85,68;-0,10;14,32
FEB;BKB Plasma;SMM;SMM;982,75;130420;51719;593600;46696;664791;11,48;14,24;0,60;0,68;89,29;-0,07;10,71
FEB;BKB Plasma;TGS;TGS;416,00;54374;19028;227700;22075;289523;11,97;13,12;0,55;0,70;78,65;-0,15;21,35
FEB;BKB Plasma;WRJ;WRJ;1051,40;140849;47966;545610;57968;730106;11,37;12,60;0,52;0,69;74,73;-0,18;25,27
FEB;BKB Plasma 1;MTL;MTL;799,68;106447;34765;599730;33255;575770;17,25;17,31;0,75;0,72;104,16;0,03;-4,16
FEB;BKB Plasma 1;SBU;SBU;29,10;4020;822;11962;1485;23746;14,55;15,99;0,41;0,82;50,38;-0,40;49,62
FEB;BKB Plasma 1;TNB;TNB;111,43;14327;5044;85901;5226;90927;17,03;17,40;0,77;0,82;94,47;-0,05;5,53
FEB;BKB Plasma 1;SBH;SBH;495,52;66248;25448;470507;20567;359639;18,49;17,49;0,95;0,73;130,83;0,22;-30,83
FEB;FFD Inti;Rayon 1;RAY-1;1677,81;218379;72064;1051240;137084;2005267;14,59;14,63;0,63;1,20;52,42;-0,57;47,58
FEB;FFD Inti;Rayon 2;RAY-2;1742,55;230645;60599;928380;135093;2034894;15,32;15,06;0,53;1,17;45,62;-0,63;54,38
FEB;FFD Plasma;BB1;BB1;612,27;80089;30359;519800;50278;755814;17,12;15,03;0,85;1,23;68,77;-0,39;31,23
FEB;FFD Plasma;BB2A;BB2-A;39,80;5361;1621;25590;3478;49133;15,79;14,13;0,64;1,23;52,08;-0,59;47,92
FEB;FFD Plasma;BB2B;BB2-B;442,00;59052;16350;243550;38703;548395;14,90;14,17;0,55;1,24;44,41;-0,69;55,59
FEB;FFD Plasma;BB3;BB3;14,00;1971;807;16540;948;16800;20,50;17,72;1,18;1,20;98,45;-0,02;1,55
FEB;FFD Plasma;BB4;BB4;324,10;43877;16129;262620;28079;404477;16,28;14,41;0,81;1,25;64,93;-0,44;35,07
FEB;FFD Plasma;BB5;BB5;145,15;19235;10701;151210;14173;181147;14,13;12,78;1,04;1,25;83,47;-0,21;16,53
FEB;FFD Plasma;JB1;JB1;521,80;68870;23881;300600;42157;628034;12,59;14,90;0,58;1,20;47,86;-0,63;52,14
FEB;FFD Plasma;JB2;JB2;265,82;38182;12876;198010;24098;330749;15,38;13,73;0,74;1,24;59,87;-0,50;40,13
FEB;FFD Plasma;JB3;JB3;277,60;38497;13634;192350;26746;346445;14,11;12,95;0,69;1,25;55,52;-0,56;44,48
FEB;FFD Plasma;SR;SR;199,90;27072;7532;118910;17331;249074;15,79;14,37;0,59;1,25;47,74;-0,65;52,26
MAR;BKB Inti;Afdeling 1;AFD.1;1451,00;190109;82843;1503390;109427;1792784;18,15;16,38;1,04;1,24;83,86;-0,20;16,14
MAR;BKB Inti;Afdeling 2;AFD.2;1496,00;195774;107639;1810180;117461;1964704;16,82;16,73;1,21;1,31;92,13;-0,10;7,87
MAR;SC Inti;SC Inti;AFD6;393,60;51701;16890;253930;45294;593548;15,03;13,10;0,65;1,51;42,78;-0,86;57,22
MAR;Setarap;Setarap;AFD-8;388,20;51154;48970;677410;42309;585406;13,83;13,84;1,75;1,51;115,72;0,24;-15,72
MAR;SC Plasma;SC Plasma;AFD-7;196,30;26164;13911;204760;23768;296020;14,72;12,45;1,04;1,51;69,17;-0,46;30,83
MAR;BKB Plasma;SK1;SK1;187,50;24615;6325;91880;9279;152250;14,53;16,41;0,49;0,81;60,35;-0,32;39,65
MAR;BKB Plasma;SK2;SK2;158,00;20822;7766;143460;6728;131320;18,47;19,52;0,91;0,83;109,24;0,08;-9,24
MAR;BKB Plasma;SKA;SKA;233,00;30330;12664;223060;11245;206800;17,61;18,39;0,96;0,89;107,86;0,07;-7,86
MAR;BKB Plasma;SKB;SKB;321,00;43821;26669;379710;22860;297888;14,24;13,03;1,18;0,93;127,47;0,25;-27,47
MAR;BKB Plasma;SKC;SKC;55,00;7285;2467;41750;2683;51040;16,92;19,03;0,76;0,93;81,80;-0,17;18,20
MAR;BKB Plasma;SBB;SBB;1158,50;156587;33987;494450;63367;966494;14,55;15,25;0,43;0,83;51,16;-0,41;48,84
MAR;BKB Plasma;SMM;SMM;982,75;130420;35554;405640;56424;803289;11,41;14,24;0,41;0,82;50,50;-0,40;49,50
MAR;BKB Plasma;TGS;TGS;416,00;54374;15873;195140;26674;349840;12,29;13,12;0,47;0,84;55,78;-0,37;44,22
MAR;BKB Plasma;WRJ;WRJ;1051,40;140849;35714;429990;70044;882212;12,04;12,60;0,41;0,84;48,74;-0,43;51,26
MAR;BKB Plasma 1;MTL;MTL;799,68;106447;32219;557630;40183;695722;17,31;17,31;0,70;0,87;80,15;-0,17;19,85
MAR;BKB Plasma 1;SBU;SBU;29,10;4020;549;8460;1794;28693;15,41;15,99;0,29;0,99;29,48;-0,70;70,52
MAR;BKB Plasma 1;TNB;TNB;111,43;14327;3388;58532;6315;109870;17,28;17,40;0,53;0,99;53,27;-0,46;46,73
MAR;BKB Plasma 1;SBH;SBH;495,52;66248;20208;389698;24852;434563;19,28;17,49;0,79;0,88;89,68;-0,09;10,32
MAR;FFD Inti;Rayon 1;RAY-1;1677,81;218379;83158;1303730;165643;2423032;15,68;14,63;0,78;1,44;53,81;-0,67;46,19
MAR;FFD Inti;Rayon 2;RAY-2;1742,55;230645;81071;1403680;163237;2458830;17,31;15,06;0,81;1,41;57,09;-0,61;42,91
MAR;FFD Plasma;BB1;BB1;612,27;80089;37959;692030;60753;913276;18,23;15,03;1,13;1,49;75,77;-0,36;24,23
MAR;FFD Plasma;BB2A;BB2-A;39,80;5361;2726;45480;4203;59369;16,68;14,13;1,14;1,49;76,61;-0,35;23,39
MAR;FFD Plasma;BB2B;BB2-B;442,00;59052;23088;370940;46766;662644;16,07;14,17;0,84;1,50;55,98;-0,66;44,02
MAR;FFD Plasma;BB3;BB3;14,00;1971;1129;22470;1145;20300;19,90;17,72;1,61;1,45;110,69;0,16;-10,69
MAR;FFD Plasma;BB4;BB4;324,10;43877;19608;322960;33929;488743;16,47;14,41;1,00;1,51;66,08;-0,51;33,92
MAR;FFD Plasma;BB5;BB5;145,15;19235;14087;219270;17126;218886;15,57;12,78;1,51;1,51;100,18;0,00;-0,18
MAR;FFD Plasma;JB1;JB1;521,80;68870;27720;361730;50939;758875;13,05;14,90;0,69;1,45;47,67;-0,76;52,33
MAR;FFD Plasma;JB2;JB2;265,82;38182;14770;235090;29118;399656;15,92;13,73;0,88;1,50;58,82;-0,62;41,18
MAR;FFD Plasma;JB3;JB3;277,60;38497;19539;301280;32318;418621;15,42;12,95;1,09;1,51;71,97;-0,42;28,03
