Bulan;Kebun;Afdeling;Kode Afd;Luas;Pokok;Jjg Akt.;Kg Akt.;Jjg Bgt.;Kg Bgt.;BJR Akt.;BJR Bgt.;Ton/ha Akt.;Ton/ha Bgt.;% Cap.;Gap Ton/Ha;Gap %
SEP;Setarap;Setarap;AFD-8;388,20;51154;0;0;60546;837736;#DIV/0!;13,84;0,00;2,16;0,00;-2,16;100,00
SEP;SC Plasma;SC Plasma;AFD-7;196,30;26164;0;0;34013;423615;#DIV/0!;12,45;0,00;2,16;0,00;-2,16;100,00
SEP;BKB Plasma;SK1;SK1;187,50;24615;0;0;13278;217875;#DIV/0!;16,41;0,00;1,16;0,00;-1,16;100,00
SEP;BKB Plasma;SK2;SK2;158,00;20822;0;0;9628;187923;#DIV/0!;19,52;0,00;1,19;0,00;-1,19;100,00
SEP;BKB Plasma;SKA;SKA;233,00;30330;0;0;16093;295938;#DIV/0!;18,39;0,00;1,27;0,00;-1,27;100,00
SEP;BKB Plasma;SKB;SKB;321,00;43821;0;0;32713;426289;#DIV/0!;13,03;0,00;1,33;0,00;-1,33;100,00
SEP;BKB Plasma;SKC;SKC;55,00;7285;0;0;3839;73040;#DIV/0!;19,03;0,00;1,33;0,00;-1,33;100,00
SEP;BKB Plasma;SBB;SBB;1158,50;156587;0;0;90681;1383086;#DIV/0!;15,25;0,00;1,19;0,00;-1,19;100,00
SEP;BKB Plasma;SMM;SMM;982,75;130420;0;0;80744;1149534;#DIV/0!;14,24;0,00;1,17;0,00;-1,17;100,00
SEP;BKB Plasma;TGS;TGS;416,00;54374;0;0;38171;500633;#DIV/0!;13,12;0,00;1,20;0,00;-1,20;100,00
SEP;BKB Plasma;WRJ;WRJ;1051,40;140849;0;0;100236;1262475;#DIV/0!;12,60;0,00;1,20;0,00;-1,20;100,00
SEP;BKB Plasma 1;MTL;MTL;799,68;106447;0;0;57504;995602;#DIV/0!;17,31;0,00;1,25;0,00;-1,25;100,00
SEP;BKB Plasma 1;SBU;SBU;29,10;4020;0;0;2568;41060;#DIV/0!;15,99;0,00;1,41;0,00;-1,41;100,00
SEP;BKB Plasma 1;TNB;TNB;111,43;14327;0;0;9037;157228;#DIV/0!;17,40;0,00;1,41;0,00;-1,41;100,00
