Bulan;PT;Kebun;Afdeling;Kode Afd;Luas;Pokok;Jjg Akt.;Kg Akt.;Jjg Sns.;Kg Sns.;BJR Akt.;BJR Sns.;Ton/ha Akt.;Ton/ha Sns.;% Cap.;Gap Ton/Ha;Gap %
JAN;BKB;BKB Plasma 1;MTL;MTL;799,68;106447;42428;753830;49211;832727;17,77;16,92;0,94;1,04;90,53;-0,1;9,47
JAN;BKB;BKB Plasma 1;SBU;SBU;29,1;4020;702;10640;1365;14134;15,16;10,36;0,37;0,49;75,28;-0,12;24,72
JAN;BKB;BKB Plasma 1;TNB;TNB;111,43;14327;5301;94578;6175;112866;17,84;18,28;0,85;1,01;83,8;-0,16;16,2
JAN;BKB;BKB Plasma 1;SBH;SBH;495,52;66248;26166;502882;29131;533085;19,22;18,3;1,01;1,08;94,33;-0,06;5,67
JAN;FFD;FFD Inti;Rayon 1;RAY-1;1677,81;218379;90961;1287070;135432;1819120;14,15;13,43;0,77;1,08;70,75;-0,32;29,25
JAN;FFD;FFD Inti;Rayon 2;RAY-2;1742,55;230645;73669;1095570;131491;1926053;14,87;14,65;0,63;1,11;56,88;-0,48;43,12
JAN;FFD;FFD Plasma;BB1;BB1;612,27;80089;39262;645820;59480;948402;16,45;15,95;1,05;1,55;68,1;-0,49;31,9
JAN;FFD;FFD Plasma;BB2A;BB2-A;39,8;5361;2165;35030;3674;57485;16,18;15,65;0,88;1,44;60,94;-0,56;39,06
JAN;FFD;FFD Plasma;BB2B;BB2-B;442;59052;24493;363280;37749;557310;14,83;14,76;0,82;1,26;65,18;-0,44;34,82
JAN;FFD;FFD Plasma;BB3;BB3;14;1971;609;11530;1552;28181;18,93;18,16;0,82;2,01;40,91;-1,19;59,09
JAN;FFD;FFD Plasma;BB4;BB4;324,1;43877;21358;337650;34281;512783;15,81;14,96;1,04;1,58;65,85;-0,54;34,15
JAN;FFD;FFD Plasma;BB5;BB5;145,15;19235;14255;200560;21262;279149;14,07;13,13;1,38;1,92;71,85;-0,54;28,15
JAN;FFD;FFD Plasma;JB1;JB1;521,8;68870;39018;501570;34496;442125;12,85;12,82;0,96;0,85;113,45;0,11;-13,45
JAN;FFD;FFD Plasma;JB2;JB2;265,82;38182;17450;268350;23502;355798;15,38;15,14;1,01;1,34;75,42;-0,33;24,58
JAN;FFD;FFD Plasma;JB3;JB3;277,6;38497;17618;245760;27668;387689;13,95;14,01;0,89;1,4;63,39;-0,51;36,61
JAN;FFD;FFD Plasma;SR;SR;199,9;27072;11992;189860;17477;272137;15,83;15,57;0,95;1,36;69,77;-0,41;30,23
FEB;BKB;BKB Inti;Afdeling 1;AFD.1;1451;190109;77834;1362420;77089;1257614;17,5;16,31;0,94;0,87;108,33;0,07;-8,33
FEB;BKB;BKB Inti;Afdeling 2;AFD.2;1496;195774;95997;1552520;87847;1393854;16,17;15,87;1,04;0,93;111,38;0,11;-11,38
FEB;BKB;SC Inti;SC Inti;AFD6;393,6;51701;17921;261050;21712;288045;14,57;13,27;0,66;0,73;90,63;-0,07;9,37
FEB;BKB;Setarap;Setarap;AFD-8;388,2;51154;41001;538880;39487;530843;13,14;13,44;1,39;1,37;101,51;0,02;-1,51
FEB;BKB;SC Plasma;SC Plasma;AFD-7;196,3;26164;11630;162770;15588;212218;14;13,61;0,83;1,08;76,7;-0,25;23,3
FEB;BKB;BKB Plasma;SK1;SK1;187,5;24615;9087;126260;7002;96131;13,89;13,73;0,67;0,51;131,34;0,16;-31,34
FEB;BKB;BKB Plasma;SK2;SK2;158;20822;7751;136840;7029;122888;17,65;17,48;0,87;0,78;111,35;0,09;-11,35
FEB;BKB;BKB Plasma;SKA;SKA;233;30330;13962;236460;12717;210792;16,94;16,58;1,01;0,9;112,18;0,11;-12,18
FEB;BKB;BKB Plasma;SKB;SKB;321;43821;27473;374510;26286;354937;13,63;13,5;1,17;1,11;105,51;0,06;-5,51
FEB;BKB;BKB Plasma;SKC;SKC;55;7285;2987;50610;1958;31446;16,94;16,06;0,92;0,57;160,94;0,35;-60,94
FEB;BKB;BKB Plasma;SBB;SBB;1158,5;156587;50783;685280;35693;488931;13,49;13,7;0,59;0,42;140,16;0,17;-40,16
FEB;BKB;BKB Plasma;SMM;SMM;982,75;130420;51719;593600;38700;473292;11,48;12,23;0,6;0,48;125,42;0,12;-25,42
FEB;BKB;BKB Plasma;TGS;TGS;416;54374;19028;227700;16683;193002;11,97;11,57;0,55;0,46;117,98;0,08;-17,98
FEB;BKB;BKB Plasma;WRJ;WRJ;1051,4;140849;47966;545610;39066;437384;11,37;11,2;0,52;0,42;124,74;0,1;-24,74
FEB;BKB;BKB Plasma 1;MTL;MTL;799,68;106447;34765;599730;33269;562971;17,25;16,92;0,75;0,7;106,53;0,05;-6,53
FEB;BKB;BKB Plasma 1;SBU;SBU;29,1;4020;822;11962;923;9556;14,55;10,36;0,41;0,33;125,18;0,08;-25,18
FEB;BKB;BKB Plasma 1;TNB;TNB;111,43;14327;5044;85901;4175;76304;17,03;18,28;0,77;0,68;112,58;0,09;-12,58
FEB;BKB;BKB Plasma 1;SBH;SBH;495,52;66248;25448;470507;19694;360396;18,49;18,3;0,95;0,73;130,55;0,22;-30,55
FEB;FFD;FFD Inti;Rayon 1;RAY-1;1677,81;218379;72064;1051240;91560;1229827;14,59;13,43;0,63;0,73;85,48;-0,11;14,52
FEB;FFD;FFD Inti;Rayon 2;RAY-2;1742,55;230645;60599;928380;88895;1302121;15,32;14,65;0,53;0,75;71,3;-0,21;28,7
FEB;FFD;FFD Plasma;BB1;BB1;612,27;80089;30359;519800;40212;641174;17,12;15,95;0,85;1,05;81,07;-0,2;18,93
FEB;FFD;FFD Plasma;BB2A;BB2-A;39,8;5361;1621;25590;2484;38863;15,79;15,65;0,64;0,98;65,85;-0,33;34,15
FEB;FFD;FFD Plasma;BB2B;BB2-B;442;59052;16350;243550;25521;376773;14,9;14,76;0,55;0,85;64,64;-0,3;35,36
FEB;FFD;FFD Plasma;BB3;BB3;14;1971;807;16540;1049;19052;20,5;18,16;1,18;1,36;86,82;-0,18;13,18
FEB;FFD;FFD Plasma;BB4;BB4;324,1;43877;16129;262620;23176;346671;16,28;14,96;0,81;1,07;75,75;-0,26;24,25
FEB;FFD;FFD Plasma;BB5;BB5;145,15;19235;10701;151210;14374;188720;14,13;13,13;1,04;1,3;80,12;-0,26;19,88
FEB;FFD;FFD Plasma;JB1;JB1;521,8;68870;23881;300600;23321;298901;12,59;12,82;0,58;0,57;100,57;0;-0,57
FEB;FFD;FFD Plasma;JB2;JB2;265,82;38182;12876;198010;15888;240539;15,38;15,14;0,74;0,9;82,32;-0,16;17,68
FEB;FFD;FFD Plasma;JB3;JB3;277,6;38497;13634;192350;18705;262100;14,11;14,01;0,69;0,94;73,39;-0,25;26,61
FEB;FFD;FFD Plasma;SR;SR;199,9;27072;7532;118910;11816;183980;15,79;15,57;0,59;0,92;64,63;-0,33;35,37
MAR;BKB;BKB Inti;Afdeling 1;AFD.1;1451;190109;82843;1503390;93149;1519617;18,15;16,31;1,04;1,05;98,93;-0,01;1,07
MAR;BKB;BKB Inti;Afdeling 2;AFD.2;1496;195774;107639;1810180;106148;1684240;16,82;15,87;1,21;1,13;107,48;0,08;-7,48
MAR;BKB;SC Inti;SC Inti;AFD6;393,6;51701;16890;253930;26236;348054;15,03;13,27;0,65;0,88;72,96;-0,24;27,04
MAR;BKB;Setarap;Setarap;AFD-8;388,2;51154;48970;677410;47713;641435;13,83;13,44;1,75;1,65;105,61;0,09;-5,61
MAR;BKB;SC Plasma;SC Plasma;AFD-7;196,3;26164;13911;204760;18836;256430;14,72;13,61;1,04;1,31;79,85;-0,26;20,15
MAR;BKB;BKB Plasma;SK1;SK1;187,5;24615;6325;91880;8460;116158;14,53;13,73;0,49;0,62;79,1;-0,13;20,9
MAR;BKB;BKB Plasma;SK2;SK2;158;20822;7766;143460;8494;148490;18,47;17,48;0,91;0,94;96,61;-0,03;3,39
MAR;BKB;BKB Plasma;SKA;SKA;233;30330;12664;223060;15367;254707;17,61;16,58;0,96;1,09;87,58;-0,14;12,42
MAR;BKB;BKB Plasma;SKB;SKB;321;43821;26669;379710;31762;428882;14,24;13,5;1,18;1,34;88,53;-0,15;11,47
MAR;BKB;BKB Plasma;SKC;SKC;55;7285;2467;41750;2366;37997;16,92;16,06;0,76;0,69;109,88;0,07;-9,88
MAR;BKB;BKB Plasma;SBB;SBB;1158,5;156587;33987;494450;43129;590791;14,55;13,7;0,43;0,51;83,69;-0,08;16,31
MAR;BKB;BKB Plasma;SMM;SMM;982,75;130420;35554;405640;46763;571894;11,41;12,23;0,41;0,58;70,93;-0,17;29,07
MAR;BKB;BKB Plasma;TGS;TGS;416;54374;15873;195140;20159;233211;12,29;11,57;0,47;0,56;83,68;-0,09;16,32
MAR;BKB;BKB Plasma;WRJ;WRJ;1051,4;140849;35714;429990;47205;528505;12,04;11,2;0,41;0,5;81,36;-0,09;18,64
